"gene_id","baseMean","log2FoldChange","pvalue","padj","logFC","PValue","FDR","significativo_DESeq2","significativo_edgeR","en_nucleo_comun","en_lista_exploratoria"
"LEPR",38.624624997384,3.20833732474738,6.52471756299731e-05,0.000804715166103002,2.66199879955015,0.00136889627367556,0.0101298324251991,TRUE,TRUE,TRUE,TRUE
"MC4R",43.4191077451244,-3.12880615369898,3.00061329737786e-16,5.55113460014904e-15,-3.04797554289789,0.000105051777525418,0.00194345788422024,TRUE,TRUE,TRUE,TRUE
"FTO",48.0783726894218,-2.96097110791769,1.51932659065751e-26,5.62150838543279e-25,-1.43632371816784,0.000298784400967378,0.003685007611931,TRUE,TRUE,TRUE,TRUE
"SH2B1",49.8079986076346,0.762358147777033,0.000601910266734879,0.00522438815660227,0.799318636411879,0.00449678173941812,0.0207976155448088,TRUE,TRUE,TRUE,TRUE
"POMC",49.6098717493148,0.721768243017475,0.000705998399540847,0.00522438815660227,0.742191423630579,0.00396241437430081,0.0207976155448088,TRUE,TRUE,TRUE,TRUE
"UBR2",88.2397991673321,-1.82551217731004,0.661397218997186,0.946193819829277,-1.00691154507782,8.28013382430478e-06,0.000306364951499277,FALSE,TRUE,FALSE,TRUE
"SIM1",40.3294330828983,-1.54822199416865,0.0309966017126067,0.163839180480921,-1.48374822764229,0.000522990345742402,0.00483766069811722,FALSE,TRUE,FALSE,TRUE
"UHMK1",22.1285038575319,0.893788735701011,0.0288557450034686,0.163839180480921,0.956389846418698,0.0025047535176004,0.0154459800252025,FALSE,TRUE,FALSE,TRUE
"PCSK1",51.093301952482,0.50612524433739,0.123487187138109,0.571128240513755,0.500453735993787,0.00799441462090225,0.0328659267748204,FALSE,TRUE,FALSE,TRUE
"NRP2",38.3741997329384,-0.665448726979474,0.286092001245087,0.756100289004872,-0.0959932713434939,0.655293322164505,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"TMEM18",18.3726046439063,0.604379470545264,0.163116398626608,0.603530674918451,0.605410064171132,0.184961880580015,0.488827827247181,FALSE,FALSE,FALSE,FALSE
"PHIP",24.935150464604,-0.596676497314256,0.145317433845257,0.597416116919389,-0.263820161585301,0.435985725863418,0.76816532652126,FALSE,FALSE,FALSE,FALSE
"KSR2",52.0564941136547,-0.57029620379495,0.414775319767216,0.902746284199235,-0.352120691173442,0.0705385398637211,0.237265997723425,FALSE,FALSE,FALSE,FALSE
"GIPR",35.3261054515388,0.489372871523525,0.273779606704335,0.756100289004872,0.0814824277616922,0.716473093995446,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"CREBRF",27.2507301204835,-0.476153782454101,0.256791743358325,0.756100289004872,-0.565899360858384,0.030832535660094,0.114080381942348,FALSE,FALSE,FALSE,FALSE
"MRAP2",34.0960634752823,0.41352608482776,0.28585397353936,0.756100289004872,0.375468017035036,0.146710362641965,0.417560262904053,FALSE,FALSE,FALSE,FALSE
"LEP",27.7516105796874,-0.413207053118192,0.315868149703528,0.779141435935368,-0.358461518419568,0.351562698157176,0.748247341929803,FALSE,FALSE,FALSE,FALSE
"PDE3B",32.1474653370733,-0.334523806865094,0.380064089176451,0.878898206220542,0.0428211012615744,0.895839712415678,0.920724148871669,FALSE,FALSE,FALSE,FALSE
"PPARG",34.1877831946615,-0.288784435698723,0.452477009563853,0.930091630770143,-0.193996247921565,0.394893384067166,0.748247341929803,FALSE,FALSE,FALSE,FALSE
"KIAA1109",23.3567120451956,-0.263151454142604,0.531794165628937,0.946193819829277,-0.288172549912727,0.385352612174161,0.748247341929803,FALSE,FALSE,FALSE,FALSE
"GPR151",61.685723419003,-0.20072721096547,0.961589764089562,0.96537893351575,-0.140174883751996,0.404458022664758,0.748247341929803,FALSE,FALSE,FALSE,FALSE
"KIAA0586",25.6770292741339,0.191402611026945,0.623016287223031,0.946193819829277,0.500680869974908,0.0948990025129252,0.292605257748186,FALSE,FALSE,FALSE,FALSE
"ROBO1",20.8842034595704,0.158708050630391,0.700475655840255,0.946193819829277,0.24193190218676,0.391743896150575,0.748247341929803,FALSE,FALSE,FALSE,FALSE
"ANO4",32.0420828610876,0.134376171430026,0.719624418922084,0.946193819829277,-0.0380654705142013,0.86950807653283,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"NRP1",28.9234162089711,-0.120338249246354,0.757655603299043,0.946193819829277,-0.0214474748358165,0.929959164705791,0.929959164705791,FALSE,FALSE,FALSE,FALSE
"ADCY3",32.0430391942901,0.118955438988284,0.750823304821374,0.946193819829277,-0.0380654705142013,0.86950807653283,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"DPP9",40.3968805626709,0.117768630311687,0.865093650820759,0.96537893351575,0.230539114078885,0.259148040855109,0.639231834109268,FALSE,FALSE,FALSE,FALSE
"CNR1",51.183679628198,0.110497170021924,0.745789803338386,0.946193819829277,0.0919577352122615,0.614254968695887,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"AGRP",32.1556281328859,0.107790035134323,0.775685521436119,0.946193819829277,-0.0380654705142013,0.86950807653283,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"CADM2",32.028825776999,-0.10090560919521,0.787561620800497,0.946193819829277,-0.0380654705142013,0.86950807653283,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"ANKRD27",32.0219007990608,-0.0989260064182785,0.791531151675928,0.946193819829277,-0.0380654705142013,0.86950807653283,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"CADM1",32.0190382359786,-0.0967444105504736,0.795993962834578,0.946193819829277,-0.0380654705142013,0.86950807653283,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"BDNF",32.0462071774268,-0.0903626797369515,0.809604179784482,0.946193819829277,-0.0380654705142013,0.86950807653283,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"CALCR",32.0217372728875,-0.0859953573432315,0.818329790122618,0.946193819829277,-0.0380654705142013,0.86950807653283,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"NTRK2",19.4079111620368,0.0565913737623463,0.89183484226709,0.96537893351575,0.0963283683098144,0.744172192478436,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"GPR75",36.4150931643567,0.0441752182247131,0.926195487233842,0.96537893351575,0.0989511830925891,0.652150532610041,0.919194252334707,FALSE,FALSE,FALSE,FALSE
"SPARC",41.9682288910507,-0.0145330166084793,0.96537893351575,0.96537893351575,0.0470381853436222,0.815598882934311,0.919194252334707,FALSE,FALSE,FALSE,FALSE
