"SYMBOL","ENTREZID"
"FTO","79068"
"MC4R","4160"
"LEPR","3953"
"POMC","5443"
"SH2B1","25970"
"SIM1","6492"
"UHMK1","127933"
"PCSK1","5122"
"PHIP","55023"
"TMEM18","129787"
"CREBRF","153222"
"GIPR","2696"
"MRAP2","112609"
"NRP2","8828"
"LEP","3952"
"PDE3B","5140"
"KSR2","283455"
"PPARG","5468"
"ADCY3","109"
"AGRP","181"
"ANKRD27","84079"
"ANO4","121601"
"BDNF","627"
"CADM1","23705"
"CADM2","253559"
"CALCR","799"
"CNR1","1268"
"KIAA0586","9786"
"NRP1","8829"
"ROBO1","6091"
"UBR2","23304"
"DPP9","91039"
"GPR151","134391"
"GPR75","10936"
"NTRK2","4915"
"SPARC","6678"
